"keys"	"values"
"days"	6
"prison"	6
"fat"	6
"crown"	6
"wit"	6
"court"	6
"vile"	6
"brain"	6
"already"	6
"mercy"	6
"lack"	6
"touch"	6
"move"	6
"home"	6
"ill"	6
"round"	6
"try"	6
"arras"	6
"slave"	6
"bad"	6
"either"	6
"ambition"	6
"laugh"	6
"fly"	6
"begin"	6
"speaks"	6
"anon"	6
"proof"	6
"lords"	6
"dangerous"	6
"christian"	6
"feed"	6
"danish"	6
"poison"	6
"prologue"	6
"door"	6
"slain"	6
"next"	6
"foils"	6
"attendants"	6
"hit"	6
"twelve"	5
"sick"	5
"quiet"	5
"course"	5
"figure"	5
"warlike"	5
"march"	5
"thyself"	5
"just"	5
"land"	5
"terms"	5
"motive"	5
"spirits"	5
"trumpet"	5
"gainst"	5
"morning"	5
"kingdom"	5
"freely"	5
"dream"	5
"cornelius"	5
"giving"	5
"told"	5
"dread"	5
"favour"	5
"france"	5
"return"	5
"hard"	5
"colour"	5
"visage"	5
"fault"	5
"throw"	5
"courtier"	5
"gentle"	5
"sits"	5
"re"	5
"flesh"	5
"ah"	5
"grows"	5
"visit"	5
"disposition"	5
"report"	5
"teach"	5
"methinks"	5
"honoured"	5
"perchance"	5
"silence"	5
"perhaps"	5
"danger"	5
"moon"	5
"blessing"	5
"new"	5
"audience"	5
"making"	5
"keeps"	5
"souls"	5
"beckons"	5
"base"	5
"cries"	5
"hearing"	5
"lend"	5
"shalt"	5
"fast"	5
"house"	5
"gifts"	5
"went"	5
"natural"	5
"brief"	5
"holds"	5
"sudden"	5
"worm"	5
"knave"	5
"point"	5
"soldiers"	5
"fingers"	5
"liberty"	5
"mass"	5
"took"	5
"arm"	5
"ecstasy"	5
"hide"	5
"brought"	5
"found"	5
"whereon"	5
"commission"	5
"pass"	5
"read"	5
"rather"	5
"short"	5
"presently"	5
"honesty"	5
"anything"	5
"save"	5
"bodies"	5
"cry"	5
"dare"	5
"sing"	5
"brains"	5
"twas"	5
"french"	5
"horse"	5
"priam"	5
"treason"	5
"mortal"	5
"conceit"	5
"drown"	5
"ignorant"	5
"nunnery"	5
"eat"	5
"patience"	5
"forgot"	5
"half"	5
"year"	5
"laid"	5
"choose"	5
"burial"	5
"excellence"	5
"spade"	5
"alexander"	5
"woot"	5
"carriages"	5
"cup"	5
"continuing"	5
"doors"	4
"guard"	4
"touching"	4
"twice"	4
"twill"	4
"armour"	4
"wonder"	4
"cannon"	4
"toward"	4
"image"	4
"lands"	4
"returned"	4
"strong"	4
"main"	4
"ease"	4
"country"	4
"treasure"	4
"stop"	4
"violence"	4
"throat"	4
"herein"	4
"birth"	4
"high"	4
"impart"	4
"consent"	4
"brow"	4
"discretion"	4
"remembrance"	4
"affair"	4
"follows"	4
"thinking"	4
"frame"	4
"nephew"	4
"commend"	4
"native"	4
"cousin"	4
"clouds"	4
"hang"	4
"lives"	4
"bound"	4
"died"	4
"wittenberg"	4
"drinks"	4
"grown"	4
"month"	4
"speed"	4
"incestuous"	4
"glad"	4
"forget"	4
"servant"	4
"change"	4
"elsinore"	4
"mock"	4
"thrift"	4
"armed"	4
"thrice"	4
"length"	4
"kept"	4
"methought"	4
"motion"	4
"looked"	4
"countenance"	4
"warrant"	4
"assume"	4
"wide"	4
"force"	4
"affection"	4
"safety"	4
"entertainment"	4
"censure"	4
"habit"	4
"humbly"	4
"tend"	4
"pay"	4
"tender"	4
"heat"	4
"rate"	4
"leisure"	4
"trumpets"	4
"born"	4
"bones"	4
"horrible"	4
"desperate"	4
"imagination"	4
"direct"	4
"lead"	4
"pity"	4
"certain"	4
"tale"	4
"stars"	4
"start"	4
"didst"	4
"unnatural"	4
"stir"	4
"sleeping"	4
"seeming"	4
"angel"	4
"cursed"	4
"instant"	4
"bosom"	4
"yea"	4
"commandment"	4
"book"	4
"secret"	4
"desires"	4
"wild"	4
"sorry"	4
"seeing"	4
"need"	4
"drift"	4
"breathe"	4
"closes"	4
"consequence"	4
"chamber"	4
"sigh"	4
"turned"	4
"property"	4
"violent"	4
"meant"	4
"ambassadors"	4
"polack"	4
"sends"	4
"white"	4
"fain"	4
"thence"	4
"four"	4
"ten"	4
"happy"	4
"count"	4
"dreams"	4
"infinite"	4
"shadow"	4
"quality"	4
"foil"	4
"argument"	4
"possible"	4
"twenty"	4
"lest"	4
"ass"	4
"straight"	4
"cunning"	4
"modesty"	4
"pause"	4
"hecuba"	4
"sleeps"	4
"gonzago"	4
"tomorrow"	4
"weep"	4
"calls"	4
"pate"	4
"accident"	4
"blame"	4
"snow"	4
"rose"	4
